name	constituency	party	img_src
Thakur, Shri Anurag Singh	Hamirpur (Himachal Pradesh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/4249.jpg
Thakur, Sadhvi Pragya Singh	Bhopal (Madhya Pradesh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/5059.jpg
Thakur, Shri  Shantanu	Bangaon (SC)(West Bengal)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/5036.jpg
Tharoor, Dr. Shashi	Thiruvananthapuram (Kerala)	Indian National Congress	https://loksabhadocs.nic.in/mpimage/photo/4569.jpg
Thirumaavalavan, Dr. Tholkappiyan	Chidambaram (SC)(Tamil Nadu)	Viduthalai Chiruthaigal Katchi	https://loksabhadocs.nic.in/mpimage/photo/4549.jpg
Thirunavukkarasar, Shri Su.	Tiruchirappalli (Tamil Nadu)	Indian National Congress	https://loksabhadocs.nic.in/mpimage/photo/485.jpg
Tiwari, Shri Manoj Kumar	North East Delhi (NCT of Delhi)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/4606.jpg
Tomar, Shri Narendra Singh	Morena (Madhya Pradesh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/4507.jpg
Tripathi, Dr. Ramapati Ram	Deoria (Uttar Pradesh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/5140.jpg
Tripura, Shri  Rebati	Tripura East (ST)(Tripura)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/4982.jpg
Tudu, Shri Bishweswar	Mayurbhanj (ST)(Odisha)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/4997.jpg
Tumane, Shri Krupal Balaji	Ramtek (SC)(Maharashtra)	Shiv Sena	https://loksabhadocs.nic.in/mpimage/photo/4734.jpg
Udasi, Shri Shivkumar Chanabasappa	Haveri (Karnataka)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/4340.jpg
Uikey, Shri Durga Das	Betul (ST)(Madhya Pradesh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/5057.jpg
Ulaka, Shri Saptagiri Sankar	Koraput (ST)(Odisha)	Indian National Congress	https://loksabhadocs.nic.in/mpimage/photo/4996.jpg
Unnithan, Shri Rajmohan	Kasaragod (Kerala)	Indian National Congress	https://loksabhadocs.nic.in/mpimage/photo/5127.jpg
V.K. Sreekandan, Shri	Palakkad (Kerala)	Indian National Congress	https://loksabhadocs.nic.in/mpimage/photo/5128.jpg
Vallabbhaneni, Shri Balashowry	Machilipatnam (Andhra Pradesh)	Yuvajana Sramika Rythu Congress Party	https://loksabhadocs.nic.in/mpimage/photo/4021.jpg
Vanga, Smt. Geetha Viswanath	Kakinada (Andhra Pradesh)	Yuvajana Sramika Rythu Congress Party	https://loksabhadocs.nic.in/mpimage/photo/5093.jpg
Vasava, Shri Mansukhbhai Dhanjibhai	Bharuch (Gujarat)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/501.jpg
Vasava, Shri Prabhubhai Nagarbhai	Bardoli (ST)(Gujarat)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/4757.jpg
Ve., Shri  Vaithilingam	Puducherry (Puducherry)	Indian National Congress	https://loksabhadocs.nic.in/mpimage/photo/5120.jpg
Velusamy, Shri  P.	Dindigul (Tamil Nadu)	Dravida Munnetra Kazhagam	https://loksabhadocs.nic.in/mpimage/photo/4977.jpg
Venkatesan, Shri S.	Madurai (Tamil Nadu)	Communist Party of India (Marxist)	https://loksabhadocs.nic.in/mpimage/photo/4965.jpg
Verma, Shri Bhanu Pratap Singh	Jalaun (SC)(Uttar Pradesh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/3824.jpg
Verma, Shri Rajesh	Sitapur (Uttar Pradesh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/510.jpg
Verma, Smt. Rekha Arun	Dhaurahra (Uttar Pradesh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/4918.jpg
Verma, Shri Ram Shiromani	Shrawasti (Uttar Pradesh)	Bahujan Samaj Party	https://loksabhadocs.nic.in/mpimage/photo/5164.jpg
Vichare, Shri Rajan Baburao	Thane (Maharashtra)	Shiv Sena	https://loksabhadocs.nic.in/mpimage/photo/4663.jpg
Vijayakumar (Alias) Vijay Vasanth , Shri	Kanniyakumari (Tamil Nadu)	Indian National Congress	https://loksabhadocs.nic.in/mpimage/photo/5533.jpg
Vikhepatil, Dr. Sujay Radhakrishna	Ahmednagar (Maharashtra)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/5196.jpg
Vishnu Prasad, Dr. M.K.	Arani (Tamil Nadu)	Indian National Congress	https://loksabhadocs.nic.in/mpimage/photo/4971.jpg
Y, Shri Devendrappa	Bellary (ST)(Karnataka)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/5171.jpg
Yadav, Shri Ashok Kumar	Madhubani (Bihar)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/5217.jpg
Yadav, Smt. Dimple	Mainpuri (Uttar Pradesh)	Samajwadi Party	https://loksabhadocs.nic.in/mpimage/photo/4580.jpg
Yadav, Shri Dinesh Chandra	Madhepura (Bihar)	Janata Dal (United)	https://loksabhadocs.nic.in/mpimage/photo/527.jpg
"Yadav , Shri Dinesh Lal ""Nirahua"""	Azamgarh (Uttar Pradesh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/5539.jpg
Yadav, Shri Giridhari	Banka (Bihar)	Janata Dal (United)	https://loksabhadocs.nic.in/mpimage/photo/3830.jpg
Yadav, Dr. Krishnapal Singh	Guna (Madhya Pradesh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/5063.jpg
Yadav, Shri Ram Kripal	Pataliputra (Bihar)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/3832.jpg
Yadav, Shri  Shyam Singh	Jaunpur (Uttar Pradesh)	Bahujan Samaj Party	https://loksabhadocs.nic.in/mpimage/photo/5147.jpg
Yepthomi, Shri Tokheho	Nagaland (Nagaland)	Nationalist Democratic Progressive Party	https://loksabhadocs.nic.in/mpimage/photo/4950.jpg
