name	constituency	party	img_src
Rathva, Smt. Gitaben Vajesingbhai	Chhota Udaipur (ST)(Gujarat)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/5020.jpg
Raut, Shri Vinayak Bhaurao	Ratnagiri-Sindhudurg (Maharashtra)	Shiv Sena	https://loksabhadocs.nic.in/mpimage/photo/4765.jpg
Ravikumar, Dr. D.	Viluppuram (SC)(Tamil Nadu)	Dravida Munnetra Kazhagam	https://loksabhadocs.nic.in/mpimage/photo/4972.jpg
Ravindhranath, Shri P.	Theni (Tamil Nadu)	All India Anna Dravida Munnetra Kazhagam	https://loksabhadocs.nic.in/mpimage/photo/4964.jpg
Rawat, Shri Ashok Kumar	Misrikh (SC)(Uttar Pradesh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/4096.jpg
Rawat, Shri Tirath Singh	Garhwal (Uttarakhand)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/5002.jpg
Rawat, Shri  Upendra Singh	Barabanki (SC)(Uttar Pradesh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/5137.jpg
Ray, Smt. Sandhya	Bhind (SC)(Madhya Pradesh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/5058.jpg
Ray, Prof. Sougata	Dum Dum (West Bengal)	All India Trinamool Congress	https://loksabhadocs.nic.in/mpimage/photo/2554.jpg
Reddy, Shri Adala Prabhakara	Nellore (Andhra Pradesh)	Yuvajana Sramika Rythu Congress Party	https://loksabhadocs.nic.in/mpimage/photo/5100.jpg
Reddy, Shri Anumula Revanth	Malkajgiri (Telangana)	Indian National Congress	https://loksabhadocs.nic.in/mpimage/photo/5079.jpg
Reddy, Dr.  Gaddam Ranjith	Chevella (Telangana)	Telangana Rashtra Samithi	https://loksabhadocs.nic.in/mpimage/photo/5075.jpg
Reddy, Shri  Komati Reddy Venkat	Bhongir (Telangana)	Indian National Congress	https://loksabhadocs.nic.in/mpimage/photo/5074.jpg
Reddy, Shri Kotha Prabhakar	Medak (Telangana)	Telangana Rashtra Samithi	https://loksabhadocs.nic.in/mpimage/photo/4926.jpg
Reddy, Shri Magunta Sreenivasulu	Ongole (Andhra Pradesh)	Yuvajana Sramika Rythu Congress Party	https://loksabhadocs.nic.in/mpimage/photo/3907.jpg
Reddy, Shri P.V. Midhun	Rajampet (Andhra Pradesh)	Yuvajana Sramika Rythu Congress Party	https://loksabhadocs.nic.in/mpimage/photo/4688.jpg
Reddy, Shri Pocha Brahmananda	Nandyal (Andhra Pradesh)	Yuvajana Sramika Rythu Congress Party	https://loksabhadocs.nic.in/mpimage/photo/5095.jpg
Reddy, Shri  Uttam Kumar Nalamada	Nalgonda (Telangana)	Indian National Congress	https://loksabhadocs.nic.in/mpimage/photo/5081.jpg
Reddy, Shri Y. S. Avinash	kadapa (Andhra Pradesh)	Yuvajana Sramika Rythu Congress Party	https://loksabhadocs.nic.in/mpimage/photo/4816.jpg
Rehman, Shri   Haji Fazlur	Saharanpur (Uttar Pradesh)	Bahujan Samaj Party	https://loksabhadocs.nic.in/mpimage/photo/5161.jpg
Revanna, Shri Prajwal	Hassan (Karnataka)	Janata Dal (Secular)	https://loksabhadocs.nic.in/mpimage/photo/5183.jpg
Rijiju, Shri Kiren	Arunachal West (Arunachal Pradesh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/3972.jpg
Roy, Dr.  Jayanta Kumar	Jalpaiguri (SC)(West Bengal)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/5045.jpg
Roy, Smt.  Mala	Kolkata Dakshin (West Bengal)	All India Trinamool Congress	https://loksabhadocs.nic.in/mpimage/photo/5048.jpg
Roy, Dr. Rajdeep	Silchar (Assam)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/5109.jpg
Roy (Banerjee), Smt. Satabdi	Birbhum (West Bengal)	All India Trinamool Congress	https://loksabhadocs.nic.in/mpimage/photo/4506.jpg
Rudy, Shri Rajiv Pratap	Saran (Bihar)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/385.jpg
Sadique,  Mohammad	Faridkot (SC)(Punjab)	Indian National Congress	https://loksabhadocs.nic.in/mpimage/photo/5168.jpg
Sagar, Shri  Arun Kumar	Shahjahanpur (SC)(Uttar Pradesh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/5163.jpg
Sahoo, Shri Mahesh	Dhenkanal (Odisha)	Biju Janata Dal	https://loksabhadocs.nic.in/mpimage/photo/4989.jpg
Sahu, Shri Chandra Sekhar	Berhampur (Odisha)	Biju Janata Dal	https://loksabhadocs.nic.in/mpimage/photo/4056.jpg
Sahu, Shri Chunni Lal	Mahasamund (Chhattisgarh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/5012.jpg
Sai, Smt. Gomati	Raigarh (ST)(Chhattisgarh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/5013.jpg
Samadani, Dr. M. P. Abdussamad	Malappuram (Kerala)	Indian Union Muslim League	https://loksabhadocs.nic.in/mpimage/photo/5532.jpg
Samanta, Shri Achyutananda	Kandhamal (Odisha)	Biju Janata Dal	https://loksabhadocs.nic.in/mpimage/photo/4993.jpg
Sangma, Smt. Agatha K.	Tura (ST)(Meghalaya)	National People's Party	https://loksabhadocs.nic.in/mpimage/photo/4251.jpg
Sao, Shri Arun	Bilaspur (Chhattisgarh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/5009.jpg
Sarangi, Smt. Aparajita	Bhubaneswar (Odisha)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/4988.jpg
Sarania, Shri Naba (Hira) Kumar	Kokrajhar (ST)(Assam)	Independent	https://loksabhadocs.nic.in/mpimage/photo/4774.jpg
Saraswati, Shri Sumedhanand	Sikar (Rajasthan)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/4709.jpg
Sardinha, Shri Francisco Cosme	South Goa (Goa)	Indian National Congress	https://loksabhadocs.nic.in/mpimage/photo/3914.jpg
Sarkar, Shri  Jagannath	Ranaghat (SC)(West Bengal)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/5055.jpg
Sarkar, Dr.  Subhas	Bankura (West Bengal)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/5037.jpg
Satyanarayana, Shri M V V	Visakhapatnam (Andhra Pradesh)	Yuvajana Sramika Rythu Congress Party	https://loksabhadocs.nic.in/mpimage/photo/5099.jpg
Saumitra, Shri Khan	Bishnupur (SC)(West Bengal)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/4875.jpg
Sawant, Shri Arvind Ganpat	Mumbai-South (Maharashtra)	Shiv Sena	https://loksabhadocs.nic.in/mpimage/photo/4713.jpg
Selvam, Shri Ganesan	Kancheepuram (SC)(Tamil Nadu)	Dravida Munnetra Kazhagam	https://loksabhadocs.nic.in/mpimage/photo/4963.jpg
Selvaraj, Shri Muniyan	Nagapattinam (SC)(Tamil Nadu)	Communist Party of India	https://loksabhadocs.nic.in/mpimage/photo/3409.jpg
Sen, Dr.  Jadon Chandra	Firozabad (Uttar Pradesh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/5225.jpg
Seth, Shri Sanjay	Ranchi (Jharkhand)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/5117.jpg
Sethi, Smt. Sarmistha Kumari	Jajpur (SC)(Odisha)	Biju Janata Dal	https://loksabhadocs.nic.in/mpimage/photo/4991.jpg
Shah, Shri Amit Anil Chandra	Gandhinagar (Gujarat)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/5021.jpg
Shah, Smt. Mala Rajya Laxmi	Tehri Garhwal (Uttarakhand)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/4582.jpg
Sharma, Shri  Anurag	Jhansi (Uttar Pradesh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/5148.jpg
Sharma, Dr. Arvind Kumar	Rohtak (Haryana)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/3785.jpg
Sharma, Shri Jugal Kishore	Jammu (Jammu and Kashmir)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/4720.jpg
Sharma, Shri Kuldeep Rai	Andaman and Nicobar Islands (Andaman and Nicobar Islands)	Indian National Congress	https://loksabhadocs.nic.in/mpimage/photo/5119.jpg
Sharma, Dr. Mahesh	Gautam Buddha Nagar (Uttar Pradesh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/4642.jpg
Sharma, Shri Vishnu Datt	Khajuraho (Madhya Pradesh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/5066.jpg
Shejwalkar, Shri Vivek Narayan	Gwalior (Madhya Pradesh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/5064.jpg
Shekhawat, Shri Gajendra Singh	Jodhpur (Rajasthan)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/4670.jpg
Shetty, Shri Gopal Chinayya	Mumbai-North (Maharashtra)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/4661.jpg
Shewale, Shri Rahul Ramesh	Mumbai South-Central (Maharashtra)	Shiv Sena	https://loksabhadocs.nic.in/mpimage/photo/4903.jpg
Shinde, Dr. Shrikant Eknath	Kalyan (Maharashtra)	Shiv Sena	https://loksabhadocs.nic.in/mpimage/photo/4659.jpg
Shiyal, Dr. Bharatiben Dhirubhai	Bhavnagar (Gujarat)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/4693.jpg
Shrangare, Shri Sudhakar Tukaram	Latur (SC)(Maharashtra)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/5195.jpg
Shukla, Shri  Ravi Kishan	Gorakhpur (Uttar Pradesh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/5144.jpg
Siddeshwara, Shri Gowdar Mallikarjunappa	Davanagere (Karnataka)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/3977.jpg
Sigriwal, Shri Janardan Singh	Maharajganj (Bihar)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/4638.jpg
Simha, Shri Prathap	Mysore (Karnataka)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/4708.jpg
Singari, Dr. Sanjeev Kumar	Kurnool (Andhra Pradesh)	Yuvajana Sramika Rythu Congress Party	https://loksabhadocs.nic.in/mpimage/photo/5094.jpg
Singh, Dr. Amar	Fatehgarh Sahib (SC)(Punjab)	Indian National Congress	https://loksabhadocs.nic.in/mpimage/photo/5169.jpg
Singh, Shri  Arjun	Barrackpur (West Bengal)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/5038.jpg
Singh, Shri  Atul Kumar	Ghosi (Uttar Pradesh)	Bahujan Samaj Party	https://loksabhadocs.nic.in/mpimage/photo/5143.jpg
Singh, Shri Bhola	Bulandshahr (SC)(Uttar Pradesh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/4605.jpg
